id_registro,variable,valor
4395,departamento,SACATEPEQUEZ
4396,departamento,SACATEPEQUEZ
4397,departamento,SACATEPEQUEZ
4398,departamento,SACATEPEQUEZ
4399,departamento,SACATEPEQUEZ
4400,departamento,SACATEPEQUEZ
4401,departamento,SACATEPEQUEZ
4402,departamento,SACATEPEQUEZ
4403,departamento,SACATEPEQUEZ
4404,departamento,SACATEPEQUEZ
4405,departamento,SACATEPEQUEZ
4406,departamento,SACATEPEQUEZ
4407,departamento,SACATEPEQUEZ
4408,departamento,SACATEPEQUEZ
4409,departamento,SACATEPEQUEZ
4410,departamento,SACATEPEQUEZ
4411,departamento,SACATEPEQUEZ
4412,departamento,SACATEPEQUEZ
4413,departamento,SACATEPEQUEZ
4414,departamento,SACATEPEQUEZ
4415,departamento,SACATEPEQUEZ
4416,departamento,SACATEPEQUEZ
4417,departamento,SACATEPEQUEZ
4418,departamento,SACATEPEQUEZ
4419,departamento,SACATEPEQUEZ
4420,departamento,SACATEPEQUEZ
4421,departamento,SACATEPEQUEZ
4422,departamento,SACATEPEQUEZ
4423,departamento,SACATEPEQUEZ
4424,departamento,SACATEPEQUEZ
4425,departamento,SACATEPEQUEZ
4426,departamento,SACATEPEQUEZ
4427,departamento,SACATEPEQUEZ
4428,departamento,SACATEPEQUEZ
4429,departamento,SACATEPEQUEZ
4430,departamento,SACATEPEQUEZ
4431,departamento,SACATEPEQUEZ
4432,departamento,SACATEPEQUEZ
4433,departamento,SACATEPEQUEZ
4434,departamento,SACATEPEQUEZ
4435,departamento,SACATEPEQUEZ
4436,departamento,SACATEPEQUEZ
4437,departamento,SACATEPEQUEZ
4438,departamento,SACATEPEQUEZ
4439,departamento,SACATEPEQUEZ
4440,departamento,SACATEPEQUEZ
4441,departamento,SACATEPEQUEZ
4442,departamento,SACATEPEQUEZ
4443,departamento,SACATEPEQUEZ
4444,departamento,SACATEPEQUEZ
4445,departamento,SACATEPEQUEZ
4446,departamento,SACATEPEQUEZ
4447,departamento,SACATEPEQUEZ
4448,departamento,SACATEPEQUEZ
4449,departamento,SACATEPEQUEZ
4450,departamento,SACATEPEQUEZ
4451,departamento,SACATEPEQUEZ
4452,departamento,SACATEPEQUEZ
4453,departamento,SACATEPEQUEZ
4454,departamento,SACATEPEQUEZ
4455,departamento,SACATEPEQUEZ
4456,departamento,SACATEPEQUEZ
4457,departamento,SACATEPEQUEZ
4458,departamento,SACATEPEQUEZ
4459,departamento,SACATEPEQUEZ
4460,departamento,SACATEPEQUEZ
4461,departamento,SACATEPEQUEZ
4462,departamento,SACATEPEQUEZ
4463,departamento,SACATEPEQUEZ
4464,departamento,SACATEPEQUEZ
4465,departamento,SACATEPEQUEZ
4466,departamento,SACATEPEQUEZ
4467,departamento,SACATEPEQUEZ
4468,departamento,SACATEPEQUEZ
4469,departamento,SACATEPEQUEZ
4470,departamento,SACATEPEQUEZ
4471,departamento,SACATEPEQUEZ
4472,departamento,SACATEPEQUEZ
4473,departamento,SACATEPEQUEZ
4474,departamento,SACATEPEQUEZ
4475,departamento,SACATEPEQUEZ
4476,departamento,SACATEPEQUEZ
4477,departamento,SACATEPEQUEZ
4478,departamento,SACATEPEQUEZ
4479,departamento,SACATEPEQUEZ
4480,departamento,SACATEPEQUEZ
4481,departamento,SACATEPEQUEZ
4482,departamento,SACATEPEQUEZ
4483,departamento,SACATEPEQUEZ
4484,departamento,SACATEPEQUEZ
4485,departamento,SACATEPEQUEZ
4486,departamento,SACATEPEQUEZ
4487,departamento,SACATEPEQUEZ
