columna,faltantes_n,faltantes_%
director,1791,15.09
telefono,946,7.97
supervisor,535,4.51
distrito,532,4.48
direccion,81,0.68
establecimiento,5,0.04
codigo,0,0.0
modalidad,0,0.0
archivo_origen,0,0.0
departamental,0,0.0
plan,0,0.0
jornada,0,0.0
nivel,0,0.0
status,0,0.0
area,0,0.0
sector,0,0.0
municipio,0,0.0
departamento,0,0.0
id_registro,0,0.0
