columna,n_unicos
nivel,1
modalidad,2
area,3
sector,4
status,5
jornada,6
plan,13
departamento,23
archivo_origen,23
departamental,26
municipio,352
supervisor,1287
distrito,1683
director,5561
telefono,6571
establecimiento,6668
direccion,7528
codigo,11867
id_registro,11867
