id_registro_a,id_registro_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,jornada_a,jornada_b,plan_a,plan_b,score,decision
2368,2402,01-06-0084-46,01-06-0178-46,INSTITUTO NACIONAL MARIA BELEN MEDRANO GARCIA,INSTITUTO NACIONAL MARÍA BELÉN MEDRANO GARCÍA,DOBLE,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (FIN DE SEMANA),93.3,
7457,7502,11-01-0474-46,11-01-1220-46,COLEGIO EVANGÉLICO MIXTO SINAÍ,COLEGIO EVANGELICO MIXTO SINAI,SIN JORNADA,VESPERTINA,SEMIPRESENCIAL (FIN DE SEMANA),DIARIO(REGULAR),93.3,
1115,1144,00-06-0046-46,00-06-0099-46,LICEO TECNÓLOGICO GUATEMALTECO,LICEO TECNOLÓGICO GUATEMALTECO,MATUTINA,MATUTINA,FIN DE SEMANA,DIARIO(REGULAR),93.3,
1113,1114,00-06-0042-46,00-06-0045-46,LICEO TECNOLÓGICO GUATEMALTECO,LICEO TECNÓLOGICO GUATEMALTECO,MATUTINA,MATUTINA,DIARIO(REGULAR),FIN DE SEMANA,93.3,
1113,1115,00-06-0042-46,00-06-0046-46,LICEO TECNOLÓGICO GUATEMALTECO,LICEO TECNÓLOGICO GUATEMALTECO,MATUTINA,MATUTINA,DIARIO(REGULAR),FIN DE SEMANA,93.3,
1114,1140,00-06-0045-46,00-06-0091-46,LICEO TECNÓLOGICO GUATEMALTECO,LICEO TECNOLÓGICO GUATEMALTECO,MATUTINA,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (FIN DE SEMANA),93.3,
1115,1140,00-06-0046-46,00-06-0091-46,LICEO TECNÓLOGICO GUATEMALTECO,LICEO TECNOLÓGICO GUATEMALTECO,MATUTINA,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (FIN DE SEMANA),93.3,
1114,1144,00-06-0045-46,00-06-0099-46,LICEO TECNÓLOGICO GUATEMALTECO,LICEO TECNOLÓGICO GUATEMALTECO,MATUTINA,MATUTINA,FIN DE SEMANA,DIARIO(REGULAR),93.3,
1671,1696,00-12-0151-46,00-12-2790-46,"COLEGIO MIXTO ""CIENCIA Y ARTE""",COLEGIO MIXTO 'CIENCIA Y ARTE',SIN JORNADA,INTERMEDIA,A DISTANCIA,DIARIO(REGULAR),93.3,
7343,7457,11-01-0153-46,11-01-0474-46,COLEGIO EVANGELICO MIXTO SINAI,COLEGIO EVANGÉLICO MIXTO SINAÍ,MATUTINA,SIN JORNADA,DIARIO(REGULAR),SEMIPRESENCIAL (FIN DE SEMANA),93.3,
