id_registro_a,id_registro_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,jornada_a,jornada_b,plan_a,plan_b,score,decision
381,650,00-01-0793-46,00-01-7863-46,CENTRO TECNOLÓGICO DE COMPUTACIÓN LA MERCED,CENTRO TECNOLOGICO EN COMPUTACION LA MERCED,SIN JORNADA,INTERMEDIA,SEMIPRESENCIAL (FIN DE SEMANA),DIARIO(REGULAR),93.0,
1769,1820,00-13-0025-46,00-13-9682-46,INSTITUTO DE BACHILLERATO EN COMPUTACION,INSTITUTO DE BACHILLERATO EN COMPUTACION -IBC-,MATUTINA,DOBLE,FIN DE SEMANA,DIARIO(REGULAR),93.0,
3045,3091,01-10-0153-46,01-10-0308-46,COLEGIO INTEGRAL TECNOLÓGICO CIENTÍFICO CITEC,COLEGIO INTEGRAL TECNOLÓGICO CIENTÍFICO,DOBLE,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),92.9,
362,868,00-01-0759-46,00-01-9850-46,LICEO CLÁSICO EN COMPUTACIÓN,LICEO CLASICO EN COMPUTACION,SIN JORNADA,NOCTURNA,SEMIPRESENCIAL (FIN DE SEMANA),DIARIO(REGULAR),92.9,
362,637,00-01-0759-46,00-01-7728-46,LICEO CLÁSICO EN COMPUTACIÓN,LICEO CLASICO EN COMPUTACION,SIN JORNADA,NOCTURNA,SEMIPRESENCIAL (FIN DE SEMANA),FIN DE SEMANA,92.9,
362,631,00-01-0759-46,00-01-7670-46,LICEO CLÁSICO EN COMPUTACIÓN,LICEO CLASICO EN COMPUTACION,SIN JORNADA,VESPERTINA,SEMIPRESENCIAL (FIN DE SEMANA),DIARIO(REGULAR),92.9,
3045,3047,01-10-0153-46,01-10-0157-46,COLEGIO INTEGRAL TECNOLÓGICO CIENTÍFICO CITEC,COLEGIO INTEGRAL TECNOLÓGICO CIENTÍFICO,DOBLE,VESPERTINA,FIN DE SEMANA,DIARIO(REGULAR),92.9,
3045,3058,01-10-0153-46,01-10-0200-46,COLEGIO INTEGRAL TECNOLÓGICO CIENTÍFICO CITEC,COLEGIO INTEGRAL TECNOLÓGICO CIENTÍFICO,DOBLE,DOBLE,FIN DE SEMANA,FIN DE SEMANA,92.9,
9250,9262,14-20-0141-46,14-20-0158-46,COLEGIO MIXTO OXLAJU B AQTUN,COLEGIO MIXTO OXLAJU B'AQTUN,VESPERTINA,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),92.9,
10319,10339,17-10-0015-46,17-10-0253-46,INSTITUTO PARTICULAR MIXTO PLAN FIN DE SEMANA LICENCIADO VALENTIN DEL VALLE GONGORA,INSTITUTO PARTICULAR MIXTO PLAN FIN DE SEMANA VALENTIN DEL VALLE GONGORA,DOBLE,VESPERTINA,FIN DE SEMANA,DIARIO(REGULAR),92.9,
289,697,00-01-0635-46,00-01-8455-46,CENTRO DE COMPUTACIÓN IMP-PC,CENTRO DE COMPUTACION IMB-PC,DOBLE,DOBLE,FIN DE SEMANA,FIN DE SEMANA,92.9,
289,521,00-01-0635-46,00-01-4388-46,CENTRO DE COMPUTACIÓN IMP-PC,CENTRO DE COMPUTACION IMB-PC,DOBLE,MATUTINA,FIN DE SEMANA,DIARIO(REGULAR),92.9,
362,867,00-01-0759-46,00-01-9849-46,LICEO CLÁSICO EN COMPUTACIÓN,LICEO CLASICO EN COMPUTACION,SIN JORNADA,DOBLE,SEMIPRESENCIAL (FIN DE SEMANA),FIN DE SEMANA,92.9,
